city,freebase_id,iata_code,country
Al Wakrah,/m/09ql7j,,Qatar
Al-Ahsa Oasis,/m/026hr16,,Saudi Arabia
Al-Bireh,/m/09qxv2,,Palestine
Al-Dar al-Kabirah,/m/0kbggj7,,Syria
Al-Darbasiyah,/m/02r4tq3,,Syria
Al-Fashir,/m/0b8k_p,,Sudan
Al-Faw,/m/05y_d8,,Iraq
Al-Fulah,/m/0t5174p,,Sudan
Al-Haffah,/m/02qhhy5,,Syria
Al-Hajar al-Aswad,/m/02qgh1c,,Syria
Al-Hasakah,/m/0265p9d,,Syria
Al-Hay,/m/010fkyb0,,Iraq
Al-Karak,/m/01sr16,,Jordan
Al-Karmah,/m/02qldn6,,Iraq
Al-Khalidiya,/m/03h1nnp,,Iraq
Al-Kiswah,/m/04cws38,,Syria
Al-Malikiyah,/m/02qhh_y,,Syria
Al-Mazyunah,/m/09v5j4d,,Oman
Al-Muabbada,/m/0ndhjlx,,Syria
Al-Mubarraz,/m/0268z21,,Saudi Arabia
Al-Muharraq,/m/0wpbv17,,Bahrain
Al-Nabek,/m/02qfw2v,,Syria
"Al-Qaryatayn, Homs",/m/0j3h01g,,Syria
Al-Qusayr,/m/02qhf42,,Syria
Al-Qādisiyyah,/m/0by5hc,,Iraq
Al-Ram,/m/02r78pk,,Palestine
Al-Rastan,/m/02vkptf,,Syria
Al-Safira,/m/02qgf4f,,Syria
Al-Sanamayn,/m/02qk2lc,,Syria
Al-Shaykh Badr,/m/02qj3t5,,Syria
Al-Suqaylabiyah,/m/02qk2n2,,Syria
Al-Tall,/m/02qh3z1,,Syria
Al-Thuqbah,/m/0b8w35,,Saudi Arabia
Al-Ula,/m/027798b,,Saudi Arabia
Al-Zabadani,/m/0bp7dr,,Syria
Alabanda,/m/0blgc8,,Turkey
Alabaster,/m/0qbmh,,United States
Alachua,/m/0rh71,,United States
Alagoinhas,/m/0fd41k,,Brazil
Alagonia,/m/047cv4d,,Greece
Alahan Monastery,/m/05mqh4g,,Turkey
